figure,panel,transition,method,metric,replicate,accuracy
1,exp2,0.5→1,partial,top-1,2,0.675531914893617
1,exp2,0.5→1,covered-lp,top-1,2,0.8351063829787234
1,exp2,1→1.5,entropic-kl,top-1,2,0.8830188679245283
1,exp2,1→1.5,mm-kl,top-1,2,0.8943396226415095
1,exp2,1→1.5,mm-l2,top-1,2,0.7584905660377359
1,exp2,1→1.5,partial,top-1,2,0.6830188679245283
1,exp2,1→1.5,covered-lp,top-1,2,0.8603773584905661
1,exp2,1.5→2,entropic-kl,top-1,2,0.9124668435013262
1,exp2,1.5→2,mm-kl,top-1,2,0.9204244031830239
1,exp2,1.5→2,mm-l2,top-1,2,0.7639257294429708
1,exp2,1.5→2,partial,top-1,2,0.7214854111405835
1,exp2,1.5→2,covered-lp,top-1,2,0.8992042440318302
1,exp2,0→0.5,entropic-kl,top-1,3,0.6858974358974359
1,exp2,0→0.5,mm-kl,top-1,3,0.7115384615384616
1,exp2,0→0.5,mm-l2,top-1,3,0.5641025641025641
1,exp2,0→0.5,partial,top-1,3,0.532051282051282
1,exp2,0→0.5,covered-lp,top-1,3,0.6410256410256411
1,exp2,0.5→1,entropic-kl,top-1,3,0.8119266055045872
1,exp2,0.5→1,mm-kl,top-1,3,0.8165137614678899
1,exp2,0.5→1,mm-l2,top-1,3,0.7568807339449541
1,exp2,0.5→1,partial,top-1,3,0.6697247706422018
1,exp2,0.5→1,covered-lp,top-1,3,0.7981651376146789
1,exp2,1→1.5,entropic-kl,top-1,3,0.8944099378881988
1,exp2,1→1.5,mm-kl,top-1,3,0.9037267080745341
1,exp2,1→1.5,mm-l2,top-1,3,0.7236024844720497
1,exp2,1→1.5,partial,top-1,3,0.6863354037267081
1,exp2,1→1.5,covered-lp,top-1,3,0.8633540372670807
1,exp2,1.5→2,entropic-kl,top-1,3,0.908883826879271
1,exp2,1.5→2,mm-kl,top-1,3,0.9111617312072893
1,exp2,1.5→2,mm-l2,top-1,3,0.785876993166287
1,exp2,1.5→2,partial,top-1,3,0.7220956719817767
1,exp2,1.5→2,covered-lp,top-1,3,0.8997722095671982
1,exp2,0→0.5,entropic-kl,top-1,4,0.8148148148148148
1,exp2,0→0.5,mm-kl,top-1,4,0.8148148148148148
1,exp2,0→0.5,mm-l2,top-1,4,0.6592592592592592
1,exp2,0→0.5,partial,top-1,4,0.6888888888888889
1,exp2,0→0.5,covered-lp,top-1,4,0.7333333333333333
1,exp2,0.5→1,entropic-kl,top-1,4,0.8791208791208791
1,exp2,0.5→1,mm-kl,top-1,4,0.9065934065934066
1,exp2,0.5→1,mm-l2,top-1,4,0.7692307692307693
1,exp2,0.5→1,partial,top-1,4,0.6813186813186813
1,exp2,0.5→1,covered-lp,top-1,4,0.8571428571428571
1,exp2,1→1.5,entropic-kl,top-1,4,0.8671875
1,exp2,1→1.5,mm-kl,top-1,4,0.87109375
1,exp2,1→1.5,mm-l2,top-1,4,0.74609375
1,exp2,1→1.5,partial,top-1,4,0.671875
1,exp2,1→1.5,covered-lp,top-1,4,0.83984375
1,exp2,1.5→2,entropic-kl,top-1,4,0.8481675392670157
1,exp2,1.5→2,mm-kl,top-1,4,0.856020942408377
1,exp2,1.5→2,mm-l2,top-1,4,0.7356020942408377
1,exp2,1.5→2,partial,top-1,4,0.6989528795811518
1,exp2,1.5→2,covered-lp,top-1,4,0.8481675392670157
1,exp2,0→0.5,entropic-kl,top-1,5,0.7555555555555555
1,exp2,0→0.5,mm-kl,top-1,5,0.7555555555555555
1,exp2,0→0.5,mm-l2,top-1,5,0.6370370370370371
1,exp2,0→0.5,partial,top-1,5,0.6518518518518519
1,exp2,0→0.5,covered-lp,top-1,5,0.7333333333333333
1,exp2,0.5→1,entropic-kl,top-1,5,0.8238341968911918
1,exp2,0.5→1,mm-kl,top-1,5,0.8290155440414507
1,exp2,0.5→1,mm-l2,top-1,5,0.6994818652849741
1,exp2,0.5→1,partial,top-1,5,0.6321243523316062
1,exp2,0.5→1,covered-lp,top-1,5,0.7875647668393783
1,exp2,1→1.5,entropic-kl,top-1,5,0.8551236749116607
1,exp2,1→1.5,mm-kl,top-1,5,0.8692579505300353
1,exp2,1→1.5,mm-l2,top-1,5,0.7279151943462897
1,exp2,1→1.5,partial,top-1,5,0.6784452296819788
1,exp2,1→1.5,covered-lp,top-1,5,0.8268551236749117
1,exp2,1.5→2,entropic-kl,top-1,5,0.9075829383886256
1,exp2,1.5→2,mm-kl,top-1,5,0.9123222748815166
1,exp2,1.5→2,mm-l2,top-1,5,0.6919431279620853
1,exp2,1.5→2,partial,top-1,5,0.7061611374407583
1,exp2,1.5→2,covered-lp,top-1,5,0.8957345971563981
1,exp2,0→0.5,entropic-kl,top-1,6,0.6917808219178082
1,exp2,0→0.5,mm-kl,top-1,6,0.7054794520547946
1,exp2,0→0.5,mm-l2,top-1,6,0.5958904109589042
1,exp2,0→0.5,partial,top-1,6,0.6027397260273972
1,exp2,0→0.5,covered-lp,top-1,6,0.636986301369863
1,exp2,0.5→1,entropic-kl,top-1,6,0.812206572769953
1,exp2,0.5→1,mm-kl,top-1,6,0.8732394366197183
1,exp2,0.5→1,mm-l2,top-1,6,0.7183098591549296
1,exp2,0.5→1,partial,top-1,6,0.6572769953051644
1,exp2,0.5→1,covered-lp,top-1,6,0.8075117370892019
1,exp2,1→1.5,entropic-kl,top-1,6,0.8680555555555556
1,exp2,1→1.5,mm-kl,top-1,6,0.8888888888888888
1,exp2,1→1.5,mm-l2,top-1,6,0.8055555555555556
1,exp2,1→1.5,partial,top-1,6,0.6840277777777778
1,exp2,1→1.5,covered-lp,top-1,6,0.84375
1,exp2,1.5→2,entropic-kl,top-1,6,0.9046454767726161
1,exp2,1.5→2,mm-kl,top-1,6,0.9095354523227384
1,exp2,1.5→2,mm-l2,top-1,6,0.726161369193154
1,exp2,1.5→2,partial,top-1,6,0.6992665036674817
1,exp2,1.5→2,covered-lp,top-1,6,0.8875305623471883
1,exp2,0→0.5,entropic-kl,top-1,7,0.7664233576642335
1,exp2,0→0.5,mm-kl,top-1,7,0.7591240875912408
1,exp2,0→0.5,mm-l2,top-1,7,0.6496350364963503
1,exp2,0→0.5,partial,top-1,7,0.6423357664233577
1,exp2,0→0.5,covered-lp,top-1,7,0.7153284671532847
1,exp2,0.5→1,entropic-kl,top-1,7,0.8393782383419689
1,exp2,0.5→1,mm-kl,top-1,7,0.8393782383419689
1,exp2,0.5→1,mm-l2,top-1,7,0.772020725388601
1,exp2,0.5→1,partial,top-1,7,0.6580310880829016
1,exp2,0.5→1,covered-lp,top-1,7,0.7979274611398963
1,exp2,1→1.5,entropic-kl,top-1,7,0.8943396226415095
1,exp2,1→1.5,mm-kl,top-1,7,0.909433962264151
1,exp2,1→1.5,mm-l2,top-1,7,0.8188679245283019
1,exp2,1→1.5,partial,top-1,7,0.6716981132075471
1,exp2,1→1.5,covered-lp,top-1,7,0.8943396226415095
1,exp2,1.5→2,entropic-kl,top-1,7,0.8706199460916442
1,exp2,1.5→2,mm-kl,top-1,7,0.8787061994609164
1,exp2,1.5→2,mm-l2,top-1,7,0.816711590296496
1,exp2,1.5→2,partial,top-1,7,0.7142857142857143
1,exp2,1.5→2,covered-lp,top-1,7,0.8814016172506739
1,exp2,0→0.5,entropic-kl,top-1,8,0.6643356643356644
1,exp2,0→0.5,mm-kl,top-1,8,0.6643356643356644
1,exp2,0→0.5,mm-l2,top-1,8,0.5734265734265734
1,exp2,0→0.5,partial,top-1,8,0.5664335664335665
1,exp2,0→0.5,covered-lp,top-1,8,0.6363636363636364
1,exp2,0.5→1,entropic-kl,top-1,8,0.8585858585858586
1,exp2,0.5→1,mm-kl,top-1,8,0.8888888888888888
1,exp2,0.5→1,mm-l2,top-1,8,0.7828282828282829
1,exp2,0.5→1,partial,top-1,8,0.6717171717171717
1,exp2,0.5→1,covered-lp,top-1,8,0.8333333333333334
1,exp2,1→1.5,entropic-kl,top-1,8,0.8794326241134752
1,exp2,1→1.5,mm-kl,top-1,8,0.8900709219858156
1,exp2,1→1.5,mm-l2,top-1,8,0.7375886524822695
1,exp2,1→1.5,partial,top-1,8,0.6914893617021277
1,exp2,1→1.5,covered-lp,top-1,8,0.8475177304964538
1,exp2,1.5→2,entropic-kl,top-1,8,0.8947368421052632
1,exp2,1.5→2,mm-kl,top-1,8,0.9114832535885168
1,exp2,1.5→2,mm-l2,top-1,8,0.6842105263157895
1,exp2,1.5→2,partial,top-1,8,0.6889952153110048
1,exp2,1.5→2,covered-lp,top-1,8,0.8923444976076556
1,exp2,0→0.5,entropic-kl,top-1,9,0.6802721088435374
1,exp2,0→0.5,mm-kl,top-1,9,0.7278911564625851
1,exp2,0→0.5,mm-l2,top-1,9,0.6122448979591837
1,exp2,0→0.5,partial,top-1,9,0.564625850340136
1,exp2,0→0.5,covered-lp,top-1,9,0.6394557823129252
1,exp2,0.5→1,entropic-kl,top-1,9,0.8571428571428571
1,exp2,0.5→1,mm-kl,top-1,9,0.8783068783068783
1,exp2,0.5→1,mm-l2,top-1,9,0.8253968253968254
1,exp2,0.5→1,partial,top-1,9,0.6825396825396826
1,exp2,0.5→1,covered-lp,top-1,9,0.8677248677248677
1,exp2,1→1.5,entropic-kl,top-1,9,0.8745247148288974
1,exp2,1→1.5,mm-kl,top-1,9,0.8669201520912547
1,exp2,1→1.5,mm-l2,top-1,9,0.7946768060836502
1,exp2,1→1.5,partial,top-1,9,0.6844106463878327
1,exp2,1→1.5,covered-lp,top-1,9,0.8479087452471483
1,exp2,1.5→2,entropic-kl,top-1,9,0.9042253521126761
1,exp2,1.5→2,mm-kl,top-1,9,0.9014084507042254
1,exp2,1.5→2,mm-l2,top-1,9,0.7915492957746478
1,exp2,1.5→2,partial,top-1,9,0.7154929577464789
1,exp2,1.5→2,covered-lp,top-1,9,0.9014084507042254
