exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp2,4,3,4,1.5→2,mm-l2,0.5287958115183246,0.00037566046496770257,0.979217966290715
exp2,4,3,4,1.5→2,partial,0.387434554973822,8.860175143492797e-05,0.7
exp2,5,0,1,0→0.5,entropic-kl,0.837037037037037,0.0032160577388814443,0.8399296115141835
exp2,5,0,1,0→0.5,mm-kl,0.8444444444444444,0.0007574433159772734,0.9876572660203959
exp2,5,0,1,0→0.5,mm-l2,0.8592592592592593,0.0006733826742001997,0.9813389846926038
exp2,5,0,1,0→0.5,partial,0.674074074074074,0.00015871983672214663,0.7000000000000002
exp2,5,1,2,0.5→1,entropic-kl,0.7202072538860104,0.0032004273947498518,0.8403466041794696
exp2,5,1,2,0.5→1,mm-kl,0.6476683937823834,0.0007771312245492859,0.9885099675325536
exp2,5,1,2,0.5→1,mm-l2,0.694300518134715,0.0006252840295791961,0.9794351773151537
exp2,5,1,2,0.5→1,partial,0.5077720207253886,0.0001665606016960999,0.7
exp2,5,2,3,1→1.5,entropic-kl,0.568904593639576,0.0031304636183012245,0.8450048021191863
exp2,5,2,3,1→1.5,mm-kl,0.5759717314487632,0.0005638632672621962,0.991828548804739
exp2,5,2,3,1→1.5,mm-l2,0.568904593639576,0.00038798889849011453,0.9815363165618665
exp2,5,2,3,1→1.5,partial,0.4734982332155477,0.00010415396587403576,0.6999999999999997
exp2,5,3,4,1.5→2,entropic-kl,0.4146919431279621,0.003230575248168501,0.8449229256115993
exp2,5,3,4,1.5→2,mm-kl,0.4431279620853081,0.000503681295054697,0.9933422292096767
exp2,5,3,4,1.5→2,mm-l2,0.5023696682464455,0.00033155975854809656,0.9802622404586979
exp2,5,3,4,1.5→2,partial,0.35308056872037913,8.670294067698997e-05,0.6999999999999998
exp2,6,0,1,0→0.5,entropic-kl,0.8082191780821918,0.003176588245440248,0.8445579465677393
exp2,6,0,1,0→0.5,mm-kl,0.7328767123287672,0.0006278738562105191,0.989780630981753
exp2,6,0,1,0→0.5,mm-l2,0.7465753424657534,0.0005465232253982129,0.9842898038288981
exp2,6,0,1,0→0.5,partial,0.6986301369863014,0.00010623800647538998,0.7000000000000002
exp2,6,1,2,0.5→1,entropic-kl,0.6197183098591549,0.0031108258069567967,0.8458079719575975
exp2,6,1,2,0.5→1,mm-kl,0.6197183098591549,0.0006420883326004815,0.9899420189255026
exp2,6,1,2,0.5→1,mm-l2,0.6150234741784038,0.0004966399158010077,0.9809373941948389
exp2,6,1,2,0.5→1,partial,0.5211267605633803,0.00010207829364904613,0.7000000000000001
exp2,6,2,3,1→1.5,entropic-kl,0.5034722222222222,0.0030577091515170208,0.8466453361261661
exp2,6,2,3,1→1.5,mm-kl,0.4791666666666667,0.0005375995395500106,0.9920752338717529
exp2,6,2,3,1→1.5,mm-l2,0.5381944444444444,0.0003571127267512171,0.9812131419428942
exp2,6,2,3,1→1.5,partial,0.3993055555555556,8.15061443292546e-05,0.6999999999999992
exp2,6,3,4,1.5→2,entropic-kl,0.38875305623471884,0.0031463613555653214,0.8471870493480131
exp2,6,3,4,1.5→2,mm-kl,0.43276283618581907,0.0004539216822571927,0.9934826606804285
exp2,6,3,4,1.5→2,mm-l2,0.4572127139364303,0.00032156805204568574,0.9811424354590292
exp2,6,3,4,1.5→2,partial,0.31784841075794623,8.64148700643953e-05,0.6999999999999991
exp2,7,0,1,0→0.5,entropic-kl,0.7153284671532847,0.0032886107967649374,0.8462639350785706
exp2,7,0,1,0→0.5,mm-kl,0.6934306569343066,0.0008381640793056832,0.9876526861650214
exp2,7,0,1,0→0.5,mm-l2,0.6861313868613139,0.000751697106190727,0.9820697919919144
exp2,7,0,1,0→0.5,partial,0.6642335766423357,0.00015006165946555787,0.7
exp2,7,1,2,0.5→1,entropic-kl,0.6062176165803109,0.003133900383599315,0.8474789077793621
