exp,replicate,i,j,transition,method,accuracy_top1,transport_cost,mass
exp2,3,0,1,0→0.5,mm-l2,0.5448717948717948,0.004097639012703879,0.6322711250278491
exp2,3,0,1,0→0.5,partial,0.532051282051282,0.01544264397643405,0.7000000000000002
exp2,3,1,2,0.5→1,entropic-kl,0.8394495412844036,0.010012798111220952,0.7139738620632338
exp2,3,1,2,0.5→1,mm-kl,0.8761467889908257,0.008368941406745453,0.8784022310921009
exp2,3,1,2,0.5→1,mm-l2,0.8211009174311926,0.003521462359489702,0.7786022626312679
exp2,3,1,2,0.5→1,partial,0.6743119266055045,0.003627972704598541,0.6999999999999997
exp2,3,2,3,1→1.5,entropic-kl,0.8788819875776398,0.010068692141150052,0.7002710797177797
exp2,3,2,3,1→1.5,mm-kl,0.8975155279503105,0.008644128847380885,0.8786390143057833
exp2,3,2,3,1→1.5,mm-l2,0.8043478260869565,0.0026950075413754437,0.7196932052175755
exp2,3,2,3,1→1.5,partial,0.7049689440993789,0.004239652817250576,0.6999999999999997
exp2,3,3,4,1.5→2,entropic-kl,0.9225512528473804,0.007193048015766105,0.7153538812121498
exp2,3,3,4,1.5→2,mm-kl,0.929384965831435,0.005583817803390494,0.919493462477888
exp2,3,3,4,1.5→2,mm-l2,0.8405466970387244,0.0016369466387497493,0.7642094711545929
exp2,3,3,4,1.5→2,partial,0.6924829157175398,0.0018682704468951572,0.6999999999999996
exp2,4,0,1,0→0.5,entropic-kl,0.8,0.009941462579310039,0.6463224026219121
exp2,4,0,1,0→0.5,mm-kl,0.8,0.009272655731044412,0.7886518997598828
exp2,4,0,1,0→0.5,mm-l2,0.7185185185185186,0.0031030844634682203,0.7285515457389569
exp2,4,0,1,0→0.5,partial,0.7037037037037037,0.007586909337286823,0.7000000000000002
exp2,4,1,2,0.5→1,entropic-kl,0.9120879120879121,0.010079058265705258,0.7166987933546669
exp2,4,1,2,0.5→1,mm-kl,0.9175824175824175,0.007963762313710102,0.8759075149842128
exp2,4,1,2,0.5→1,mm-l2,0.8626373626373627,0.0033032262268732192,0.7971057730599496
exp2,4,1,2,0.5→1,partial,0.6868131868131868,0.002886334545032428,0.7
exp2,4,2,3,1→1.5,entropic-kl,0.84375,0.00951015584504621,0.7173099554825388
exp2,4,2,3,1→1.5,mm-kl,0.875,0.007662957880567614,0.8876270252767975
exp2,4,2,3,1→1.5,mm-l2,0.83203125,0.0028743451407014075,0.7764584262128941
exp2,4,2,3,1→1.5,partial,0.69140625,0.0031140895517787256,0.7
exp2,4,3,4,1.5→2,entropic-kl,0.8769633507853403,0.009211490122793903,0.7032781974748678
exp2,4,3,4,1.5→2,mm-kl,0.8743455497382199,0.007449147924639539,0.8880107750809916
