figure,panel,transition,method,metric,replicate,accuracy
1,exp2,0.5→1,entropic-kl,top-1,4,0.6483516483516484
1,exp2,0.5→1,mm-kl,top-1,4,0.6373626373626373
1,exp2,0.5→1,mm-l2,top-1,4,0.6538461538461539
1,exp2,0.5→1,partial,top-1,4,0.5164835164835165
1,exp2,1→1.5,entropic-kl,top-1,4,0.58203125
1,exp2,1→1.5,mm-kl,top-1,4,0.5546875
1,exp2,1→1.5,mm-l2,top-1,4,0.6015625
1,exp2,1→1.5,partial,top-1,4,0.4921875
1,exp2,1.5→2,entropic-kl,top-1,4,0.468586387434555
1,exp2,1.5→2,mm-kl,top-1,4,0.4869109947643979
1,exp2,1.5→2,mm-l2,top-1,4,0.5287958115183246
1,exp2,1.5→2,partial,top-1,4,0.387434554973822
1,exp2,0→0.5,entropic-kl,top-1,5,0.837037037037037
1,exp2,0→0.5,mm-kl,top-1,5,0.8444444444444444
1,exp2,0→0.5,mm-l2,top-1,5,0.8592592592592593
1,exp2,0→0.5,partial,top-1,5,0.674074074074074
1,exp2,0.5→1,entropic-kl,top-1,5,0.7202072538860104
1,exp2,0.5→1,mm-kl,top-1,5,0.6476683937823834
1,exp2,0.5→1,mm-l2,top-1,5,0.694300518134715
1,exp2,0.5→1,partial,top-1,5,0.5077720207253886
1,exp2,1→1.5,entropic-kl,top-1,5,0.568904593639576
1,exp2,1→1.5,mm-kl,top-1,5,0.5759717314487632
1,exp2,1→1.5,mm-l2,top-1,5,0.568904593639576
1,exp2,1→1.5,partial,top-1,5,0.4734982332155477
1,exp2,1.5→2,entropic-kl,top-1,5,0.4146919431279621
1,exp2,1.5→2,mm-kl,top-1,5,0.4431279620853081
1,exp2,1.5→2,mm-l2,top-1,5,0.5023696682464455
1,exp2,1.5→2,partial,top-1,5,0.35308056872037913
1,exp2,0→0.5,entropic-kl,top-1,6,0.8082191780821918
1,exp2,0→0.5,mm-kl,top-1,6,0.7328767123287672
1,exp2,0→0.5,mm-l2,top-1,6,0.7465753424657534
1,exp2,0→0.5,partial,top-1,6,0.6986301369863014
1,exp2,0.5→1,entropic-kl,top-1,6,0.6197183098591549
1,exp2,0.5→1,mm-kl,top-1,6,0.6197183098591549
1,exp2,0.5→1,mm-l2,top-1,6,0.6150234741784038
1,exp2,0.5→1,partial,top-1,6,0.5211267605633803
1,exp2,1→1.5,entropic-kl,top-1,6,0.5034722222222222
1,exp2,1→1.5,mm-kl,top-1,6,0.4791666666666667
1,exp2,1→1.5,mm-l2,top-1,6,0.5381944444444444
1,exp2,1→1.5,partial,top-1,6,0.3993055555555556
1,exp2,1.5→2,entropic-kl,top-1,6,0.38875305623471884
1,exp2,1.5→2,mm-kl,top-1,6,0.43276283618581907
1,exp2,1.5→2,mm-l2,top-1,6,0.4572127139364303
1,exp2,1.5→2,partial,top-1,6,0.31784841075794623
1,exp2,0→0.5,entropic-kl,top-1,7,0.7153284671532847
1,exp2,0→0.5,mm-kl,top-1,7,0.6934306569343066
1,exp2,0→0.5,mm-l2,top-1,7,0.6861313868613139
1,exp2,0→0.5,partial,top-1,7,0.6642335766423357
1,exp2,0.5→1,entropic-kl,top-1,7,0.6062176165803109
1,exp2,0.5→1,mm-kl,top-1,7,0.6632124352331606
1,exp2,0.5→1,mm-l2,top-1,7,0.6528497409326425
1,exp2,0.5→1,partial,top-1,7,0.533678756476684
1,exp2,1→1.5,entropic-kl,top-1,7,0.4528301886792453
1,exp2,1→1.5,mm-kl,top-1,7,0.4679245283018868
1,exp2,1→1.5,mm-l2,top-1,7,0.47924528301886793
1,exp2,1→1.5,partial,top-1,7,0.33584905660377357
1,exp2,1.5→2,entropic-kl,top-1,7,0.38544474393531
1,exp2,1.5→2,mm-kl,top-1,7,0.4366576819407008
1,exp2,1.5→2,mm-l2,top-1,7,0.4636118598382749
1,exp2,1.5→2,partial,top-1,7,0.33962264150943394
1,exp2,0→0.5,entropic-kl,top-1,8,0.8041958041958042
1,exp2,0→0.5,mm-kl,top-1,8,0.8041958041958042
1,exp2,0→0.5,mm-l2,top-1,8,0.8111888111888111
1,exp2,0→0.5,partial,top-1,8,0.6713286713286714
1,exp2,0.5→1,entropic-kl,top-1,8,0.601010101010101
1,exp2,0.5→1,mm-kl,top-1,8,0.601010101010101
1,exp2,0.5→1,mm-l2,top-1,8,0.6363636363636364
1,exp2,0.5→1,partial,top-1,8,0.4898989898989899
1,exp2,1→1.5,entropic-kl,top-1,8,0.5106382978723404
1,exp2,1→1.5,mm-kl,top-1,8,0.549645390070922
1,exp2,1→1.5,mm-l2,top-1,8,0.5780141843971631
1,exp2,1→1.5,partial,top-1,8,0.46099290780141844
1,exp2,1.5→2,entropic-kl,top-1,8,0.38516746411483255
1,exp2,1.5→2,mm-kl,top-1,8,0.4138755980861244
1,exp2,1.5→2,mm-l2,top-1,8,0.4258373205741627
1,exp2,1.5→2,partial,top-1,8,0.3133971291866029
1,exp2,0→0.5,entropic-kl,top-1,9,0.7142857142857143
1,exp2,0→0.5,mm-kl,top-1,9,0.7142857142857143
1,exp2,0→0.5,mm-l2,top-1,9,0.7278911564625851
1,exp2,0→0.5,partial,top-1,9,0.6666666666666666
