cell_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30
23,1.61051344871521,0.8530862331390381,2.2718279361724854,-0.48315632343292236,0.593826174736023,0.6124455332756042,-1.1824853420257568,-0.4968186318874359,-2.2330996990203857,1.3149367570877075,-0.7866942882537842,-0.3135266900062561,-1.3266868591308594,0.6378158926963806,0.6401903629302979,-0.926041841506958,-0.27122756838798523,0.5914648771286011,0.8839712738990784,1.266752004623413,-0.011526665650308132,0.9826305508613586,-0.6139642000198364,0.7434141635894775,-1.5109251737594604,0.7007176280021667,0.005111902952194214,0.6173839569091797,-0.17515186965465546,-0.0433538481593132
24,-2.887810230255127,1.1400960683822632,-1.179213285446167,-0.7883116006851196,-0.6837446689605713,0.024877801537513733,1.3847157955169678,-0.9328628182411194,1.11593759059906,-0.7141942381858826,1.9058622121810913,-1.1295273303985596,-0.7937960028648376,0.6452681422233582,-0.5056244134902954,-0.9349958896636963,0.7889449000358582,0.2644904851913452,-0.02688097022473812,-1.9359030723571777,-0.07999535650014877,1.0653947591781616,0.5679492950439453,0.6838258504867554,-0.027377605438232422,0.5212584137916565,-0.7718436121940613,-0.9362331628799438,0.4016282856464386,-1.1214195489883423
25,2.7497942447662354,0.7023459672927856,-1.2312787771224976,2.527632713317871,-1.3051817417144775,1.251540184020996,-0.6375458836555481,0.10288617014884949,-1.1089653968811035,-0.4906017780303955,1.0927292108535767,1.9229376316070557,-0.036154188215732574,0.8954424858093262,-1.4065850973129272,0.5492584705352783,-0.9045171737670898,-0.03546734154224396,-0.04446493089199066,-0.4507383406162262,-0.0013006872031837702,-0.9347307085990906,-1.1116153001785278,-0.5831802487373352,0.6594725251197815,-1.0546088218688965,0.7878372073173523,0.25921401381492615,-1.0330604314804077,-0.2796429395675659
26,-1.1203656196594238,1.83795964717865,3.669696807861328,-2.883431911468506,1.3043973445892334,-0.43674740195274353,1.877008080482483,-0.8571165204048157,-0.9078806638717651,-0.25779417157173157,3.641054630279541,-0.49377837777137756,-0.6568382978439331,-1.1860376596450806,-0.057144176214933395,1.8131611347198486,0.12624609470367432,0.9001383781433105,-1.5856496095657349,-0.959045946598053,1.3134407997131348,0.3914615511894226,-0.725212574005127,0.30730345845222473,0.2614867389202118,0.34025612473487854,-0.5034716725349426,-0.4726319909095764,0.5892643332481384,0.16929027438163757
27,-3.2386744022369385,2.2497639656066895,4.006495952606201,-3.9962611198425293,-8.583599090576172,-1.7902145385742188,0.9996050596237183,1.6775239706039429,-1.1452264785766602,-1.1280386447906494,-3.969794988632202,1.5294513702392578,-1.570473074913025,-1.561623454093933,-0.3158930242061615,-0.4016984701156616,-0.4101017117500305,0.2751818895339966,-1.3589547872543335,1.0503569841384888,1.1335058212280273,-0.02844359539449215,0.5062108039855957,0.29539385437965393,-0.5190485715866089,1.5364294052124023,0.2483110874891281,-1.057929515838623,-0.3524167537689209,-1.2524993419647217
28,1.7942140102386475,0.2043018639087677,1.21186101436615,1.077883243560791,0.8308024406433105,-0.47505253553390503,-0.7593497037887573,-0.7370425462722778,-1.306102991104126,0.16198399662971497,0.016756735742092133,-1.0299890041351318,0.2540813684463501,-0.4272683560848236,1.4431108236312866,-0.32596492767333984,1.2430076599121094,0.862129807472229,0.5775465965270996,1.3032963275909424,-1.167640209197998,0.8914902806282043,-1.2609522342681885,0.9058021903038025,-0.7845636606216431,-0.21435070037841797,0.08540287613868713,-1.040511965751648,-0.12117213755846024,-0.5582832098007202
29,-5.570041656494141,-2.072134256362915,-0.41365864872932434,-0.8612046837806702,1.9434396028518677,2.8818397521972656,4.24498176574707,-1.0239026546478271,2.097858428955078,2.9429705142974854,-1.3416893482208252,-0.22617250680923462,-0.4407672584056854,0.18547911942005157,-0.3438674509525299,0.7572408318519592,-0.38856562972068787,-0.14563997089862823,-0.22719167172908783,-0.7229968309402466,0.050887271761894226,0.5232149958610535,0.8145653009414673,2.2580692768096924,1.8104372024536133,0.656473696231842,0.9285731315612793,0.1259612739086151,2.1278507709503174,-0.0906190350651741
30,4.775616645812988,3.137744188308716,2.0919086933135986,2.2140676975250244,1.7102850675582886,3.617703914642334,-0.4974668323993683,2.3872528076171875,1.8077696561813354,-2.5888350009918213,-1.6696667671203613,-1.3457547426223755,-0.11825606971979141,-0.08865555375814438,-1.1131871938705444,-1.2548750638961792,0.5126573443412781,0.19825701415538788,1.4415996074676514,0.5761342644691467,-1.0791611671447754,0.4459925591945648,-0.22434981167316437,-0.34849873185157776,-1.096251368522644,-0.09110625088214874,1.0705273151397705,0.18898539245128632,0.04268037527799606,0.2436448186635971
31,2.510254144668579,3.350764751434326,0.4294981062412262,1.9007534980773926,0.6494891047477722,1.9043773412704468,-1.584313988685608,-2.028806447982788,-0.1828242838382721,0.7588010430335999,-0.25977087020874023,-0.23057882487773895,1.0718871355056763,-0.17434127628803253,0.14275167882442474,0.4610197842121124,2.1118381023406982,-1.2228437662124634,0.3496915400028229,0.002728522988036275,-1.775002121925354,1.2822757959365845,-0.08400756865739822,-0.14582611620426178,0.5725513100624084,0.3745262324810028,-1.4224967956542969,1.0573933124542236,-0.9029614329338074,0.35261937975883484
32,-0.297232061624527,-0.395697683095932,5.61723518371582,1.093373417854309,-1.8218990564346313,0.28090614080429077,-1.733812928199768,-0.7089754939079285,1.4903507232666016,-0.07661927491426468,-0.4788030683994293,-0.044611867517232895,0.4698696732521057,-0.8852221965789795,-0.15159288048744202,-0.26156601309776306,0.41199153661727905,-0.5982440114021301,-0.3967936933040619,-0.2654065489768982,0.4291101098060608,0.27149373292922974,0.157827228307724,0.5713338851928711,-0.2126840502023697,0.28196465969085693,1.0024441480636597,0.5024839639663696,-0.28688666224479675,0.609457790851593
33,-7.882780075073242,-3.3995797634124756,-1.7812137603759766,-1.6633787155151367,2.382979393005371,0.8129099011421204,-0.5108685493469238,-1.6362258195877075,0.42012500762939453,0.3521503210067749,-1.9192657470703125,1.3768519163131714,-1.89727783203125,-0.37401583790779114,-1.5599478483200073,1.766846776008606,0.5447255373001099,-0.6372380256652832,0.5702090263366699,0.6138294339179993,0.7597094774246216,-0.7963559031486511,-0.9633557796478271,1.6360112428665161,1.9747151136398315,0.2904317080974579,0.5831897854804993,0.5154038667678833,-1.3365026712417603,0.02119099348783493
34,0.9783013463020325,1.0542919635772705,4.9676947593688965,-0.9912430047988892,2.7431771755218506,0.7907299399375916,0.5374473929405212,0.35463809967041016,-1.8535218238830566,1.3199267387390137,1.9510819911956787,1.0921815633773804,-0.19967082142829895,-1.7413147687911987,0.3292574882507324,-1.0487041473388672,-1.8280364274978638,-1.4943106174468994,0.7133533954620361,0.012800107710063457,0.2644572854042053,0.13705182075500488,-1.340033769607544,-0.8523488640785217,-0.17846854031085968,-0.42289698123931885,0.716640830039978,-0.16653266549110413,0.11200029402971268,1.254809021949768
35,1.4675604104995728,0.5672211647033691,2.8985390663146973,2.107299327850342,-0.7572502493858337,-3.0021281242370605,-0.12190868705511093,-0.783772349357605,2.2373037338256836,1.5406546592712402,0.19480036199092865,0.43316367268562317,1.0767103433609009,1.4058164358139038,-0.7932960987091064,0.2745518684387207,-1.5096575021743774,1.1518570184707642,0.12555207312107086,-0.4857735335826874,-0.719756007194519,-0.6065694689750671,1.21890389919281,0.2731608748435974,-1.8116309642791748,-0.7639911770820618,-0.7398436665534973,-0.8643230199813843,1.0851666927337646,0.1877083033323288
36,-7.039576053619385,-2.6938092708587646,1.327825903892517,-3.1856958866119385,3.0526788234710693,1.6739232540130615,0.6038280725479126,-1.6325136423110962,-0.20048531889915466,0.29424360394477844,-1.0179544687271118,1.2698266506195068,1.6865185499191284,-0.358955442905426,0.778612494468689,-0.9058101177215576,-0.8273910284042358,-0.3605455756187439,-1.6510101556777954,0.36334672570228577,0.19474487006664276,-0.7309088110923767,0.5785785913467407,-0.14868073165416718,-1.3619805574417114,-0.24149353802204132,0.7662570476531982,-1.0512211322784424,-0.7271878123283386,-1.4117568731307983
